asset_id,title,type,location,keywords
ADMIN-01,Readme,admin,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/00 Admin/README.md,readme; admin
DOC-01,Multimodal Framework Proposal V01,doc,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/01 Project Overview/Proposal/multimodal-framework_proposal_v01.docx,multimodal; proposal; project overview
DOC-02,Productivity Forecasting Multimodal Hypothesis V01,doc,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/01 Project Overview/Proposal/productivity-forecasting_multimodal_hypothesis_v01.docx,productivity; forecasting; multimodal; hypothesis; project overview
DOC-03,Literature Review Litreview V01,doc,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/02 Literature Review/literature-review_litreview_v01.docx,literature; review; litreview; literature review
DOC-04,Research Domains 2020 2025 Paper Registry V01,doc,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/02 Literature Review/research-domains_2020-2025_paper-registry_v01.docx,research; domains; paper; registry; literature review
DOC-05,Research Papers Litreview V01,doc,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/02 Literature Review/research-papers_litreview_v01.docx,research; papers; litreview; literature review
DOC-06,Affective Computing Methodology V01,doc,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/03 Methodology/affective-computing_methodology_v01.docx,affective; computing; methodology
DATA-01,Affective Computing Deep Learning Nlp Dataset V01,data,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/04 Data/affective-computing_deep-learning-nlp_dataset_v01.xlsx,affective; computing; deep; learning; nlp; dataset; data
DATA-02,Affective Computing Deep Learning Nlp Survey Responses V01,data,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/04 Data/affective-computing_deep-learning-nlp_survey-responses_v01.csv,affective; computing; deep; learning; nlp; survey; responses; data
DATA-03,Behavioral Modeling Secondary Dataset Registry V01,data,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/04 Data/behavioral-modeling_secondary_dataset-registry_v01.docx,behavioral; modeling; secondary; dataset; registry; data
DOC-07,Distributed Multimodal Framework Framework V01,doc,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/05 Models/distributed-multimodal-framework_framework_v01.docx,distributed; multimodal; models
DOC-08,Multimodal Behavioral Analysis Framework V01,doc,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/05 Models/multimodal-behavioral-analysis_framework_v01.docx,multimodal; behavioral; analysis; models
DOC-09,Affective Computing Behavioral Biological Outcome V01,doc,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/06 Results/affective-computing_behavioral-biological_outcome_v01.docx,affective; computing; behavioral; biological; outcome; results
FIG-01,Readme,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/README.md,readme; figures
FIG-02,Fig 01 Survey Schema Validation 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-01_survey-schema-validation_2026-02-03.png,survey; schema; validation; figures
FIG-03,Fig 02 Csv Load Missing Productivity State 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-02_csv-load-missing-productivity-state_2026-02-03.png,csv; load; missing; productivity; state; figures
FIG-04,Fig 03 Heuristic Column Matching 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-03_heuristic-column-matching_2026-02-03.png,heuristic; column; matching; figures
FIG-05,Fig 04 Class Weights Cost Matrix 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-04_class-weights-cost-matrix_2026-02-03.png,class; weights; cost; matrix; figures
FIG-06,Fig 05 Somatic Feedback Vs Productivity State 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-05_somatic-feedback-vs-productivity-state_2026-02-03.png,somatic; feedback; productivity; state; figures
FIG-07,Fig 06 Semantic Vocabulary Size 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-06_semantic-vocabulary-size_2026-02-03.png,semantic; vocabulary; size; figures
FIG-08,Fig 07 Biological Constraint Vector 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-07_biological-constraint-vector_2026-02-03.png,biological; constraint; vector; figures
FIG-09,Fig 08 Train Test Split 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-08_train-test-split_2026-02-03.png,train; test; split; figures
FIG-10,Fig 09 State Restoration Registry Rebuild 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-09_state-restoration-registry-rebuild_2026-02-03.png,state; restoration; registry; rebuild; figures
FIG-11,Fig 10 State Index Vs Eda Mean 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-10_state-index-vs-eda-mean_2026-02-03.png,state; index; eda; mean; figures
FIG-12,Fig 11 Semantic Gap Dissonant Users 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-11_semantic-gap-dissonant-users_2026-02-03.png,semantic; gap; dissonant; users; figures
FIG-13,Fig 12 Bioenergetic Correlation Matrix 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-12_bioenergetic-correlation-matrix_2026-02-03.png,bioenergetic; correlation; matrix; figures
FIG-14,Fig 13 Target Variable Distribution 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-13_target-variable-distribution_2026-02-03.png,target; variable; distribution; figures
FIG-15,Fig 14 Resilience Stress Vs Focus 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-14_resilience-stress-vs-focus_2026-02-03.png,resilience; stress; focus; figures
FIG-16,Fig 15 Digital Stress Index Distribution 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-15_digital-stress-index-distribution_2026-02-03.png,digital; stress; index; distribution; figures
FIG-17,Fig 16 Model Comparison Leaderboard 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-16_model-comparison-leaderboard_2026-02-03.png,model; comparison; leaderboard; figures
FIG-18,Fig 17 Final Model Roc Curve 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-17_final-model-roc-curve_2026-02-03.png,final; model; roc; curve; figures
FIG-19,Fig 18 Shap Top Predictors 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-18_shap-top-predictors_2026-02-03.png,shap; top; predictors; figures
FIG-20,Fig 19 Final Research Summary 2026 02 03,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-19_final-research-summary_2026-02-03.png,final; research; summary; figures
FIG-21,Fig 20 Distributed Multimodal Framework Diagram V01,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-20_distributed-multimodal-framework_diagram_v01.png,distributed; multimodal; diagram; figures
FIG-22,Fig 21 Distributed Multimodal Framework Affective Computing V01,figure,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/07 Figures/fig-21_distributed-multimodal-framework_affective-computing_v01.png,distributed; multimodal; affective; computing; figures
NOTE-01,Productivity Forecasting Multimodal Framework Part 01 Notebook V01,notebook,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08 Notebooks/productivity-forecasting_multimodal-framework_part-01_notebook_v01.ipynb,productivity; forecasting; multimodal; notebooks
NOTE-02,Productivity Forecasting Multimodal Framework Part 02 Notebook V01,notebook,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08 Notebooks/productivity-forecasting_multimodal-framework_part-02_notebook_v01.ipynb,productivity; forecasting; multimodal; notebooks
NOTE-03,Productivity Forecasting Multimodal Framework Part 03 Notebook V01,notebook,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/08 Notebooks/productivity-forecasting_multimodal-framework_part-03_notebook_v01.ipynb,productivity; forecasting; multimodal; notebooks
WRITE-01,Outline,writing,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/09 Writing/outline.md,outline; writing
WRITE-02,References,writing,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/09 Writing/references.bib,references; writing
INDEX-01,Asset Catalog,index,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/10 Index & Catalogs/asset-catalog.csv,asset; catalog; index and catalogs
INDEX-02,Figure Index,index,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/10 Index & Catalogs/figure-index.csv,figure; index; index and catalogs
INDEX-03,Filename Map,index,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/10 Index & Catalogs/filename-map.csv,filename; map; index and catalogs
ARCH-01,Productivity Forecasting Multimodal Framework Notebook V01 Duplicate,archive,/Users/jobayerhoque/University/CSE 499 FYDP Phase-II/99 Archive/productivity-forecasting_multimodal-framework_notebook_v01_duplicate.ipynb,productivity; forecasting; multimodal; duplicate; archive
